Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,13:35:14,8,1320,1010,10,0,4.9734,0.9476,24.2,1.81,-3.26,98.28,-0.25,0.55
2020-11-20,13:35:19,8,1320,1205,12,2,4.9975,0.9473,24.22,1.87,-3.72,98.28,-0.27,0.61
2020-11-20,13:36:26,37,1320,165,2,0,4.9624,0.948,24.21,1.75,-3.52,98.3,-0.25,0.57
2020-11-20,13:36:35,37,1320,590,6,0,4.9773,0.9478,24.21,1.8,-3.4,98.29,-0.25,0.56
2020-11-20,13:36:44,37,1320,1010,10,0,4.9625,0.9478,24.26,1.72,-3.01,98.28,-0.25,0.51
2020-11-20,13:36:48,37,1320,1205,12,2,4.9631,0.9476,24.18,1.86,-3.59,98.28,-0.26,0.58
2020-11-20,13:37:56,10,1320,165,2,0,4.9792,0.9479,24.21,1.82,-3.69,98.3,-0.26,0.6
2020-11-20,13:38:05,10,1320,590,6,0,4.9896,0.9478,24.22,1.84,-3.53,98.3,-0.26,0.57
2020-11-20,13:38:14,10,1320,1010,10,0,4.9716,0.9476,24.24,1.76,-3.12,98.28,-0.25,0.54
2020-11-20,13:38:18,10,1320,1205,12,2,4.9964,0.9473,24.23,1.87,-3.64,98.28,-0.27,0.61
2020-11-20,13:39:25,2,1320,165,2,0,4.9884,0.948,24.21,1.83,-3.69,98.3,-0.25,0.59
2020-11-20,13:39:34,2,1320,590,6,0,4.9755,0.9479,24.2,1.82,-3.53,98.3,-0.25,0.57
2020-11-20,13:39:43,2,1320,1010,10,0,4.9554,0.9479,24.22,1.73,-3.1,98.28,-0.25,0.51
2020-11-20,13:39:47,2,1320,1205,12,2,4.9925,0.9474,24.21,1.9,-3.69,98.28,-0.26,0.58
2020-11-20,13:40:54,63,1320,165,2,0,4.9802,0.948,24.21,1.8,-3.53,98.3,-0.26,0.57
2020-11-20,13:41:04,63,1320,590,6,0,4.9865,0.9479,24.21,1.79,-3.33,98.3,-0.25,0.54
